,timestamp_added,reward_scale,owner,nonce,name,location,last_poc_challenge,last_change_block,gain,elevation,block_added,block,address,lng,lat,short_street,short_state,short_country,short_city,long_street,long_state,long_country,long_city,city_id,online,listen_addrs,height
8854,2021-03-06T16:23:51.000000Z,1.0,13W2BQ5FxQEV4C3PR9nYEC6kywKfNYFFVmHo38UgpLxusX9buCd,1,jumpy-lime-dachshund,8c08866116049ff,819498.0,819627,12.0,0.0,748327,819636,11K8vXz1j8gNDZJJNmh6bcfnXBZcQS75vDuLwXNXtuu171YjpkP,18.034744965346196,59.306035289805926,Ekfatsgatan,Stockholms län,SE,Hägersten-Liljeholmen,Ekfatsgatan,Stockholms län,Sweden,Hägersten-Liljeholmen,aMOkZ2Vyc3Rlbi1saWxqZWhvbG1lbnN0b2NraG9sbXMgbMOkbnN3ZWRlbg,online,['/ip4/81.232.173.30/tcp/44158'],819618.0
8857,2021-03-06T15:54:27.000000Z,1.0,13W2BQ5FxQEV4C3PR9nYEC6kywKfNYFFVmHo38UgpLxusX9buCd,1,sticky-rusty-caterpillar,8c088660e5abdff,819551.0,819627,12.0,0.0,748299,819636,11xMG9RLQdsvJq2YVjGnFXWBvTacE7yAmgg66Sg8hpUG7XDbz6g,18.041418433361287,59.346275271327556,Dalagatan,Stockholms län,SE,Norrmalm,Dalagatan,Stockholms län,Sweden,Norrmalm,bm9ycm1hbG1zdG9ja2hvbG1zIGzDpG5zd2VkZW4,online,['/ip4/80.216.13.30/tcp/44158'],819614.0
9052,2021-03-05T16:52:46.000000Z,1.0,14a1EcchN6gaqHzSh9u2NMuNCSzqWhxU11TWbsJG8Sn9q98bkCL,1,proper-wintergreen-halibut,8c1f2506d729bff,819486.0,819536,12.0,0.0,746929,819636,112ZZEFvKAWyBA8hSjFoVTFti38if58xm3tCPNm3FMca89iQLDWk,11.97926495238016,57.69211747288936,Vidblicksgatan,Västra Götalands län,SE,Johanneberg,Vidblicksgatan,Västra Götalands län,Sweden,Johanneberg,am9oYW5uZWJlcmd2w6RzdHJhIGfDtnRhbGFuZHMgbMOkbnN3ZWRlbg,online,['/ip4/188.149.41.135/tcp/44158'],819615.0
9084,2021-03-05T15:25:04.000000Z,1.0,13Wwpbanr8rMrGPBYajqDTHsScYJAVuXJwSP2hLD3nQk74Zm55y,2,best-tartan-pangolin,8c0880d8ec325ff,796006.0,803764,,,746829,819636,112kBLhDaHTZaobVqJ4Cjcpt9jE51ugHsxGcZFi59CTFA2wQ2ab6,17.59654434481459,59.8697458262592,Husbyborgsvägen,Uppsala län,SE,Berthåga-Stenhagen-Husbyborg-Librobäck,Husbyborgsvägen,Uppsala län,Sweden,Berthåga-Stenhagen-Husbyborg-Librobäck,YmVydGjDpWdhLXN0ZW5oYWdlbi1odXNieWJvcmctbGlicm9iw6Rja3VwcHNhbGEgbMOkbnN3ZWRlbg,offline,,796402.0
9301,2021-03-04T19:54:27.000000Z,1.0,13dHSjJ1judroDkgD158RmRki6U5Ypqpq8ZSmyk56AW5HiYRDWJ,1,alert-satin-pigeon,8c088662a46d3ff,819449.0,819633,12.0,0.0,745676,819636,11qMbaek7zknc8DW1zuGcaHWaYG8oUGjdHr734j9SFwDAH2Sjtz,17.985801221757587,59.365162947266484,Bergstigen,Stockholms län,SE,Råsunda,Bergstigen,Stockholms län,Sweden,Råsunda,csOlc3VuZGFzdG9ja2hvbG1zIGzDpG5zd2VkZW4,online,['/ip4/151.236.203.55/tcp/44158'],819618.0
9323,2021-03-04T18:49:58.000000Z,1.0,13Wwpbanr8rMrGPBYajqDTHsScYJAVuXJwSP2hLD3nQk74Zm55y,1,fluffy-purple-mantaray,8c1f2d68459a3ff,796346.0,803764,,,745649,819636,1121wNp5jYrqycbwKgbaeUZ694dEumafRghArVUinZbAVa3LCSGh,16.361408551707516,56.66495775759339,Kaggensgatan,Kalmar län,SE,Kalmar,Kaggensgatan,Kalmar län,Sweden,Kalmar,a2FsbWFya2FsbWFyIGzDpG5zd2VkZW4,offline,,796386.0
9327,2021-03-04T18:43:52.000000Z,1.0,13Wwpbanr8rMrGPBYajqDTHsScYJAVuXJwSP2hLD3nQk74Zm55y,1,bouncy-chili-mink,8c1f2d6b3a1a7ff,796315.0,817106,12.0,0.0,745645,819636,112pHkS8jXZ24JbEzLY79ipSmrUW6vzSspfE7cgLLbmaFVecwjhL,16.331421181726377,56.65689312596703,Tegelviken-Gamla Staden,Kalmar län,SE,Tegelviken-Gamla Staden,Tegelviken-Gamla Staden,Kalmar län,Sweden,Tegelviken-Gamla Staden,dGVnZWx2aWtlbi1nYW1sYSBzdGFkZW5rYWxtYXIgbMOkbnN3ZWRlbg,online,['/p2p/11azi5zP4Lq2A9uy8W2kWTiaCUVLnbuWcenWgafB6awxsQnupDV/p2p-circuit/p2p/112pHkS8jXZ24JbEzLY79ipSmrUW6vzSspfE7cgLLbmaFVecwjhL'],815200.0
9392,2021-03-04T13:50:39.000000Z,1.0,14HzZRyju96jHNPjnk3KZFuz8scmK9q4MTJPr7bYdFEo6WYJEmM,1,quiet-chocolate-jellyfish,8c1f250698c51ff,819613.0,819632,12.0,0.0,745405,819636,1127iAVzNx2kJq74XYhm3JtyvZyYZjxg3z9cdu6szXXT2kez4dQ2,11.997041465325431,57.686206521872876,Helmutsrogatan,Västra Götalands län,SE,Johanneberg,Helmutsrogatan,Västra Götalands län,Sweden,Johanneberg,am9oYW5uZWJlcmd2w6RzdHJhIGfDtnRhbGFuZHMgbMOkbnN3ZWRlbg,online,['/p2p/11tx2XhyZLeezbK7rGU2XRHdedhqDuAELNN1goZoVCfEzSt3s2u/p2p-circuit/p2p/1127iAVzNx2kJq74XYhm3JtyvZyYZjxg3z9cdu6szXXT2kez4dQ2'],819615.0
9399,2021-03-04T10:25:15.000000Z,1.0,14HzZRyju96jHNPjnk3KZFuz8scmK9q4MTJPr7bYdFEo6WYJEmM,1,glamorous-taupe-eel,8c1f25a9e7b33ff,819493.0,819629,12.0,0.0,745180,819636,11xeGPTtKw1ijA3AyF7fVy8JSZiQ5i5zEtqbkAAYJkm4NjQaWHy,11.990348073214863,57.70561500256094,Drakegatan,Västra Götalands län,SE,Gårda,Drakegatan,Västra Götalands län,Sweden,Gårda,Z8OlcmRhdsOkc3RyYSBnw7Z0YWxhbmRzIGzDpG5zd2VkZW4,online,['/p2p/11mavnNvh8UKAX1Zr8WBiP1jvTRBBCNgs4JuC44QnJLTfVcq6rY/p2p-circuit/p2p/11xeGPTtKw1ijA3AyF7fVy8JSZiQ5i5zEtqbkAAYJkm4NjQaWHy'],819582.0
9515,2021-03-03T17:32:12.000000Z,1.0,13W2BQ5FxQEV4C3PR9nYEC6kywKfNYFFVmHo38UgpLxusX9buCd,5,expert-opaque-mammoth,8c08866150f13ff,819507.0,819619,12.0,0.0,744269,819636,1121srBxUx4fHjD34o6w2op6szZSq8svSCrBUBwCWrQWapLDLEiD,17.985983587195847,59.30686724721434,Jarl Kulles Gata,Stockholms län,SE,Hägersten-Liljeholmen,Jarl Kulles Gata,Stockholms län,Sweden,Hägersten-Liljeholmen,aMOkZ2Vyc3Rlbi1saWxqZWhvbG1lbnN0b2NraG9sbXMgbMOkbnN3ZWRlbg,online,['/ip4/78.72.161.229/tcp/46435'],819618.0
